ï..created_at,id,poi_id,Document.name,Dates
1,2017-05-31 09:31:10,12c1bc90-1f01-4631-9e1d-583ea9d68098,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
2,2017-05-31 09:32:06,6e1452f9-52b9-46f2-8c3e-c4a4045bdc5e,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
3,2017-05-31 09:36:51,d69ab218-ecdd-4cdf-b69c-c69a6cb8c18c,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
4,2017-05-31 09:39:44,16ad23b0-ef0c-4d41-98a8-831b044d824d,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
5,2017-05-31 09:40:47,dddee947-4a66-4b16-977e-73e1a4ae995b,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
6,2017-05-31 09:41:04,32d80609-7623-4c96-a0eb-079b285b182e,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
7,2017-05-31 09:41:11,14ebf981-d3aa-4ed6-82b5-6bb422d5ab79,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
8,2017-05-31 09:41:24,21ccf66a-a8a1-4ccb-8464-772275d7d3c2,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
9,2017-05-31 09:41:34,dcedfec1-ecd9-43ca-8554-9b00acdccc05,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
10,2017-05-31 09:41:47,51a2163e-bff8-49eb-9217-ca64eae5abbd,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
11,2017-05-31 09:42:17,bcd56444-c761-41e0-b74e-ee460249de3e,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
12,2017-05-31 09:43:17,84490c74-de23-4061-b6b8-97e4915805a9,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
13,2017-05-31 09:43:26,c4b8378f-855d-4449-8fde-fa28fe840db5,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
14,2017-05-31 09:47:30,b26d15df-b5fb-4c99-b91a-456d48d756ed,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
15,2017-05-31 09:47:31,0bd37646-5bda-4776-9742-c9a8f332a8fb,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
16,2017-05-31 09:57:25,6645e9e7-ed8f-46aa-aff7-fc728fb4265c,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
17,2017-05-31 09:57:26,feb15fdc-7b41-4eb9-9c90-928d1b751631,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
18,2017-05-31 09:57:27,67cdccdc-d55c-49f8-b00d-af5d1f04c108,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
19,2017-05-31 10:10:50,bb5fd44c-98c6-419e-9086-7ca9d2865bca,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
20,2017-05-31 10:27:16,646b20e1-f6ea-46d3-a377-de0f3d725ba3,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
21,2017-05-31 10:27:18,974d03a8-648b-4e80-b687-eaa13489f81e,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
22,2017-05-31 10:46:40,eac2fed9-e042-4077-9fde-c350232feb09,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
23,2017-05-31 10:54:58,de238fdc-1b10-4119-bf86-c37ef41ff8d6,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
24,2017-05-31 10:55:00,4b3510a7-3c08-4aab-a64a-55847ab914d8,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
25,2017-05-31 10:58:34,7781c259-513d-4cc9-a755-b14050c43774,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
26,2017-05-31 11:05:13,511158eb-a426-4b27-b1ad-cd7c0cffe17d,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
27,2017-05-31 11:18:11,ac2a37c1-7511-488b-97b2-007f9518fc15,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31
