ï..created_at,id,poi_id,Document.name,Dates,Hours
2017-05-31 09:31:10,12c1bc90-1f01-4631-9e1d-583ea9d68098,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31,09:31:10
2017-05-31 09:32:06,6e1452f9-52b9-46f2-8c3e-c4a4045bdc5e,69b2cb9c-5fec-4449-9119-b5417ed8a3ef,CC PM***,2017-05-31,09:32:06
